trial,seed,layers,hidden_size,dropout,learning_rate,batch_size,epochs_run,best_threshold,test_accuracy,test_precision,test_recall,test_f1,num_params,training_time_seconds
2,1501,5,64,0.2,0.0028,32,12,0.4700000000000001,0.7437777777777778,0.37965072133637057,0.5980861244019139,0.4644681839294008,115697,119.79224896430969
3,1502,5,64,0.2,0.0028,32,9,0.5900000000000001,0.8355555555555556,0.5594405594405595,0.48484848484848486,0.5194805194805194,115697,94.26457691192627
4,1503,5,64,0.2,0.0028,32,20,0.6600000000000001,0.8764444444444445,0.7018518518518518,0.4896640826873385,0.5768645357686454,115697,199.46330523490906
5,1504,5,64,0.2,0.0028,32,20,0.6900000000000002,0.8588888888888889,0.623546511627907,0.5329192546583851,0.5746818486269256,115697,187.60484409332275
6,1505,5,64,0.2,0.0028,32,15,0.7100000000000002,0.8866666666666667,0.775092936802974,0.5173697270471465,0.6205357142857143,115697,143.3860158920288
7,1506,5,64,0.2,0.0028,32,8,0.55,0.8142222222222222,0.4787350054525627,0.5508155583437893,0.5122520420070011,115697,74.7431321144104
8,1507,5,64,0.2,0.0028,32,17,0.56,0.8382222222222222,0.5725,0.542654028436019,0.5571776155717761,115697,159.61559987068176
9,1508,5,64,0.2,0.0028,32,17,0.5000000000000001,0.8622222222222222,0.6127819548872181,0.61125,0.6120150187734669,115697,178.08930706977844
10,1509,5,64,0.2,0.0028,32,10,0.4200000000000001,0.6731111111111111,0.2913287585776669,0.5822942643391521,0.3883575883575884,115697,94.28756618499756
1,1600,6,64,0.2,0.0028,32,6,0.7700000000000001,0.864,0.8697318007662835,0.2819875776397516,0.425891181988743,140657,67.22991895675659
2,1601,6,64,0.2,0.0028,32,8,0.4900000000000001,0.40555555555555556,0.2049492385786802,0.7926380368098159,0.3256869170657928,140657,99.74898290634155
3,1602,6,64,0.2,0.0028,32,16,0.8300000000000002,0.8826666666666667,0.8223234624145785,0.44512946979038226,0.5776,140657,227.7553322315216
4,1603,6,64,0.2,0.0028,32,17,0.7300000000000001,0.7475555555555555,0.3786936236391913,0.5910194174757282,0.46161137440758293,140657,242.1883499622345
5,1604,6,64,0.2,0.0028,32,13,0.5300000000000001,0.7926666666666666,0.432073544433095,0.52875,0.47554806070826305,140657,180.53875827789307
6,1605,6,64,0.2,0.0028,32,12,0.6200000000000001,0.8411111111111111,0.5674931129476584,0.5067650676506765,0.5354126055880442,140657,166.6659779548645
7,1606,6,64,0.2,0.0028,32,15,0.6200000000000001,0.8775555555555555,0.75,0.4629861982434128,0.5725368502715283,140657,217.3471941947937
8,1607,6,64,0.2,0.0028,32,13,0.5700000000000001,0.8142222222222222,0.4835390946502058,0.5845771144278606,0.5292792792792793,140657,186.5335648059845
9,1608,6,64,0.2,0.0028,32,10,0.5900000000000001,0.8391111111111111,0.5494367959949937,0.5466998754669987,0.5480649188514357,140657,143.31200098991394
10,1609,6,64,0.2,0.0028,32,16,0.6800000000000002,0.834,0.5403329065300896,0.5209876543209877,0.5304839723444374,140657,227.45880794525146
1,1700,7,64,0.2,0.0028,32,10,0.6200000000000001,0.7997777777777778,0.4870420017873101,0.625,0.5474635861376193,165617,170.13147974014282
2,1701,7,64,0.2,0.0028,32,21,0.6600000000000001,0.7982222222222223,0.4684385382059801,0.4970622796709753,0.4823261117445838,165617,315.362361907959
3,1702,7,64,0.2,0.0028,32,6,0.4900000000000001,0.44666666666666666,0.21725784447476126,0.765625,0.33846971307120083,165617,95.30909895896912
4,1703,7,64,0.2,0.0028,32,6,0.5800000000000001,0.6044444444444445,0.2327150084317032,0.49939686369119424,0.3174846625766871,165617,91.38853192329407
5,1704,7,64,0.2,0.0028,32,7,0.6000000000000001,0.43444444444444447,0.2099056603773585,0.7569866342648846,0.3286731733051965,165617,109.6818859577179
6,1705,7,64,0.2,0.0028,32,18,0.6300000000000001,0.8142222222222222,0.4936854190585534,0.5212121212121212,0.5070754716981132,165617,265.11672019958496
7,1706,7,64,0.2,0.0028,32,17,0.56,0.7411111111111112,0.36191860465116277,0.6343949044585987,0.46089773253123556,165617,272.7560648918152
8,1707,7,64,0.2,0.0028,32,11,0.6600000000000001,0.834,0.5442622950819672,0.41448189762796506,0.47058823529411764,165617,169.3812370300293
9,1708,7,64,0.2,0.0028,32,21,0.6300000000000001,0.8355555555555556,0.570855614973262,0.5047281323877069,0.5357590966122961,165617,308.93523597717285
10,1709,7,64,0.2,0.0028,32,9,0.55,0.868,0.7848484848484848,0.3312020460358056,0.4658273381294964,165617,135.58092212677002
1,1800,8,64,0.2,0.0028,32,13,0.4800000000000001,0.39355555555555555,0.19433070866141733,0.7829949238578681,0.3113802674741358,190577,215.01347589492798
2,1801,8,64,0.2,0.0028,32,6,0.4600000000000001,0.4444444444444444,0.2036652835408022,0.7493638676844784,0.32028276237085374,190577,109.5460638999939
3,1802,8,64,0.2,0.0028,32,11,0.55,0.5406666666666666,0.2204585537918871,0.6257822277847309,0.32605151613955,190577,193.2887988090515
